amfi_code,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,scheme_name,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,drawdown_rank_inverse,fund_score,rank
148567,0.33991970400445304,1.4482911703262598,0.2698375144191807,-11.265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,1.46,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,0.3176924285223732,1.1801011976606492,0.2926358334175106,-18.188513572116292,ICICI Pru Midcap Fund - Regular - Growth,1.36,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,0.2957511058901836,1.3067439695428409,0.27330465038306057,-12.97396816518679,Kotak Flexicap Fund - Regular - Growth,1.45,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,0.3243397122906222,1.093698743534631,0.2719535450128533,-16.217208574644847,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,0.32478927222623,1.0265242847993001,0.2119482701352573,-12.588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,0.8,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,0.35102527889035406,0.9982309868636413,0.2607666908004223,-20.960883862039193,Axis Midcap Fund - Regular - Growth,1.38,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,0.3044861306002782,1.2082665673727175,0.23201007160635082,-15.012385498645331,SBI Bluechip Fund - Regular Plan - Growth,1.54,87.5,92.5,77.5,26.25,60.0,74.8125,7
148569,0.2917135767741186,1.2349300257743294,0.2827036785246582,-16.39674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,82.5,95.0,92.5,11.25,50.0,73.6875,8
101206,0.28960211096593724,1.0272133278753695,0.21399784776051212,-11.291596329323072,ABSL Frontline Equity Fund - Regular - Growth,1.6,80.0,80.0,72.5,11.25,80.0,68.1875,9
119598,0.2666309129954312,0.9453082575156095,0.3033696538698332,-28.706005721764548,SBI Small Cap Fund - Regular Plan - Growth,1.43,72.5,67.5,100.0,50.0,12.5,67.375,10
149323,0.26863103668817145,1.1321218524747243,0.26598577542043045,-17.24810575345138,DSP Midcap Fund - Regular - Growth,1.61,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,0.2699350260734621,0.9497958246616031,0.3005787817097677,-31.171900300634213,DSP Small Cap Fund - Regular - Growth,1.52,77.5,70.0,97.5,36.25,10.0,66.6875,12
118632,0.22646647456747715,1.0816591793457042,0.21829397904608644,-17.41407508665723,Nippon India Large Cap Fund - Regular - Growth,1.51,67.5,82.5,75.0,41.25,45.0,66.5625,13
119552,0.16263375081360643,0.9532794968660104,0.1986859936686296,-11.803493502764296,SBI Bluechip Fund - Direct Plan - Growth,0.66,45.0,72.5,65.0,92.5,75.0,66.0,14
